Format,AiM CSV File,,,,,,,,,,,,,,,,,,,,,,
Venue,SSKC,,,,,,,,,,,,,,,,,,,,,,
Vehicle,143,,,,,,,,,,,,,,,,,,,,,,
Racer,Nicholas Thorne,,,,,,,,,,,,,,,,,,,,,,
Championship,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,
Date,"Sunday, June 19, 2022",,,,,,,,,,,,,,,,,,,,,,
Time,3:42 PM,,,,,,,,,,,,,,,,,,,,,,
Sample Rate,20,,,,,,,,,,,,,,,,,,,,,,
Duration,951,,,,,,,,,,,,,,,,,,,,,,
Segment,Session,,,,,,,,,,,,,,,,,,,,,,
Beacon Markers,77.2,149.128,211.432,270.088,328.931,387.629,446.908,515.157,574.434,633.224,692.104,750.726,809.236,868.166,932.807,951,,,,,,,
Segment Times,1:17.200,1:11.928,1:02.304,0:58.656,0:58.843,0:58.698,0:59.279,1:08.249,0:59.277,0:58.790,0:58.880,0:58.622,0:58.510,0:58.930,1:04.641,0:18.193,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,Logger Temperature,Water Temp,AccelerometerX,AccelerometerY,AccelerometerZ,GyroX,GyroY,GyroZ,Int Batt Voltage,RPM
s,km/h, ,g,g,deg,deg,deg/s,m,m,m/s,m,deg,deg,°C,°C,g,g,g,deg/s,deg/s,deg/s,V,rpm
,,,,,,,,,,,,,,,,,,,,,,,
2.550,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.11,-0.05,-0.96,-0.6,0.2,-0.1,3.9,3678
2.600,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.1,-0.11,-0.05,-0.96,-0.6,0.3,-0.1,3.9,3659
2.650,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.2,-0.11,-0.05,-0.97,-0.7,0.3,-0.1,3.9,3673
2.700,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.4,-0.11,-0.05,-0.97,-0.7,0.3,-0.1,3.9,3693
2.750,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.6,-0.11,-0.05,-0.98,-0.8,0.3,-0.2,3.9,3671
2.800,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.8,-0.11,-0.06,-0.98,-0.8,0.3,-0.2,3.9,3658
2.850,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.9,-0.10,-0.06,-0.99,-0.8,0.3,-0.2,3.9,3660
2.900,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.9,-0.10,-0.06,-0.99,-0.8,0.3,-0.2,3.9,3636
2.950,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.8,-0.10,-0.06,-0.99,-0.8,0.3,-0.1,3.9,3667
3.000,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.7,-0.10,-0.06,-0.99,-0.7,0.3,-0.1,3.9,3660
3.050,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.5,-0.10,-0.06,-0.98,-0.7,0.3,-0.1,3.9,3669
3.100,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.3,-0.10,-0.06,-0.98,-0.7,0.3,-0.1,3.9,3663
3.150,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.2,-0.10,-0.06,-0.98,-0.7,0.3,-0.1,3.9,3654
3.200,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.0,-0.10,-0.05,-0.98,-0.7,0.3,-0.1,3.9,3663
3.250,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.10,-0.05,-0.98,-0.7,0.3,-0.1,3.9,3648
3.300,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.8,-0.10,-0.05,-0.98,-0.7,0.2,-0.1,3.9,3657
3.350,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.10,-0.05,-0.98,-0.7,0.2,-0.1,3.9,3680
